"# 文本key","文本value"
"string","string"
"id","text"
"Common_Item","Items"
"Common_Skill","Skills"
"Common_NeiGong","Inner Kungfu"
"Common_Equip","Gear"
"Common_Back","Back"
"Common_Return","Return"
"Common_SkillLevelUp","Advance Skill"
"Common_Unequip","Unequip"
"Common_Confirm","Confirm"
"Common_Extra","Extra"
"Common_Value","Value"
"Common_Extra_Desc","「Indestructible」"
"Common_Continue","Continue"
"Common_Add","Add"
"Common_Close","Close"
"Common_Delete","Delete"
"Common_Delete_All","Delete All"
"Common_Stop_Talk","End Conversation"
"Common_CraftItem","Craft Item"
"Common_Crafting","Crafting..."
"Common_Reduce","Remove"
"Common_Cancel","Cancel"
"Common_Finish","Complete"
"Common_Use","Use"
"Common_Place","Place"
"Common_Feed","Feed"
"Common_Player_Name","Me"
"Common_Player_Mine","My"
"Common_You","You"
"Common_Your_Sect","Your Sect"
"common_mine_teacher","My Shifu"
"Common_Empty","Empty"
"Common_Price","「Value」"
"Common_Price_1","Value"
"Common_But","But"
"Common_Or","or"
"Common_He","He"
"Common_She","She"
"Common_It","It"
"Common_Life_Title","Health"
"Common_Time_Hour","Time"
"Common_Time_Day","Day"
"Common_Time_Per_Day","Every {0} days"
"Common_Time_NoLimit","Unlimited"
"Common_Select_Item","Moved items： {0}"
"Common_has_learn","「Learned」\\n<TDName>Press</> <TDNum>[1=11]</> <TDName> to view in Abilities</>"
"Common_has_learn_gamepad","「Learned」\\n<TDName>Open the Ability interface to view</>"
"Common_has_learn_for_item","「Learned」"
"Common_has_learn_for_item_1","「{0} has Learned」"
"Common_Click","Click"
"Common_LightRain","Drizzle"
"Common_Rain","Rain"
"Common_RainStorm","Rainstorm"
"Common_LightSnow","Light Snow"
"Common_Snow","Snow"
"Common_Blizzard","Snowstorm"
"Common_ClearSkies","Clear"
"Common_Cloudy","Cloudy"
"Common_Overcast","Overcast"
"Common_Foggy","Foggy"
"Common_SandStorm","Sandstorm"
"Common_PoisonFog","Poison Fog"
"Common_CreatPlayer","Create Character"
"Common_Feeling","Spirits"
"Common_Max_Feeling","Max Spirits"
"Common_Merit","Merit"
"Common_Any_Sift","Any Resource"
"Common_Exit_Combat","Concede"
"Common_Argument","Verbal Duel"
"Common_Exit_Mini_Game","Concede"
"Common_Use_Item","Use Item"
"Common_Move_Item","Move Item"
"Common_Place_Item","Place Item"
"Common_Cook_Item","Cook Food"
"Common_Key_Up_DownTips","Up and Down Switch"
"Common_Gender","Sex"
"Common_Name","Name"
"Common_Orphan","Orphan"
"Common_The_Late","Unknown"
"Common_Born","Infant"
"Common_Preschooler","Toddler"
"Common_Schoolchild","Childhood"
"Common_Teen","Adolesence"
"Common_Submit","Submit"
"Common_Whos","{0}'s"
"Common_Character","Character"
"Common_Ability","Abilities"
